,Strengths,Weaknesses,PER,WS_48,VORP,Bust
959," An ultra-quick lefty point guard with a solid feel for running a team His ability to get by opposing guards and into the paint is on the elite level Very cerebral, shows excellent decision making ability, especially considering his age His near 3/1 assist to turnover ratio is outstanding for a freshman pg Has solid experience playing alongside a great bigman as he has been teammates with Greg Oden since before their high school days A great passer with excellent vision Understands how to feed the post well, and can hit post players with excellent dishes off the dribble drive At 6-1, he has average size for the point guard position, but has good length in his arms allowing him to play bigger Above average athletically, his father (Mike Conley Sr.) is a world class track athlete, and the apple did not fall far from the tree Defensively he plays the passing lanes well and his great foot speed allows him to be an excellent on ball defender Thrives in the open floor, using his great speed to push the basketball Has a nice assortment of midrange runners and shots in the paint going towards the rim His dribble penetration is very difficult to contain as his first step and ball handling ability are tremendous Proved to be very clutch stepping up and leading his team deep into the tournament Fearless, appeared completely unfazed by the big stage of the Final Four playing like a seasoned veteran Against Georgetown in particular he was the difference, giving the Buckeyes the offensive lift they needed to reach the Championship game Really came on offensively at the end of the season, showing more aggressiveness going to the basket and drawing fouls","The biggest knock against him is his age and level of experience entering the league at the point guard position. Many feel the development at the point guard position is much more difficult at the NBA level than in college. Entering the NBA after just one season in college has proven to be particularly difficult for point guards, the track record is not great His outside shooting is still a major question mark. He has solid form and can hit shots from the perimeter, but must gain better consistency and add range Shot just 30% from college 3, but did show some improvement at the end of the year Can improve from the line at 70% … Not a real factor on the boards, but has the athleticism and toughness necessary to improve there Will likely take a few years before hes ready to handle a full time starting NBA gig Still has a lot to learn about running a team and all the responsibilities of a point guard Besides his tremendous NCAA tourney performance, he’s somewhat unproven offensively …",17.4,0.136,36.2,N
960," Versatile player whos all around ability creates mismatches for opposing teams Above average passer with great court vision to recognize open teammates Very good ball handler for his size Defensively Green does a excellent job defending players on the perimeter With his size and length he is capable of guarding a multitude of positions on the floor Unselfish player almost to a fault Shows a good post up game that Green uses to take advantage of smaller defenders Sees double teams extremely well Excellent finisher around the basket with a soft touch and springy legs Smart player who possess a high basketball IQ Moves extremely well without the ball and is a threat for backdoor alley-opps Owns tremendous body control, capable of hanging in the air and finishing after contact Decision making ability is very good, rarely does Green make mental mistakes during crucial moments in a game Excellent finisher in transition where he has the explosiveness to finish Good rebounder who does a decent job of using his arms and leaping ability to get rebounds out of position Has three point range on his jumper, an area he has improved greatly upon this year Solid attitude in his approach to the game and will be a strong locker room guy in the NBA One of those select players who possesses a feel for the game that cant be taughtWeaknesses: While improved this year, Green still isnt very comfortable shooting from the perimeter Struggles to consistently create for himself off the dribble where his moves remain undeveloped Has a tendency to force passes that arent there leading to turnovers Will need to continue to expand his comfort level in shooting from mid-range Needs to develop more of a scorers mentality at times he doesnt assert himself on offense While he possesses a great deal of small forward skills, some may consider him more of a pf Would benefit greatly by improving his overall quickness and foot speed. This would aid him greatly on defense and allow him to gain better separation from his defender offensively Defensively Green has a habit of gambling too much by reaching, leading him to pick up foulsAran Smith – 1/25/2006 Strengths: Extremely versatile forward with solid basketball instincts … Many point guards lack his vision and passing ability … Makes everyone around him better, which is rare for a forward… Has the ability to dominate a game without scoring: his rebounding, defense, and passing ability are all very strong … Solid ball handler, doesn’t over dribble … Makes good decisions, never rushes things … Has the ability to defend inside the post due to his long arms and great body strength … Very strong legs … Soft hands … Athletic player, very explosive leaper … Plays with good desire and intensity … Rises to the occasion in big games as he proved in Georgetown’s upset win over Duke … Has a solid half court and full court game …","While improved this year, Green still isnt very comfortable shooting from the perimeter Struggles to consistently create for himself off the dribble where his moves remain undeveloped Has a tendency to force passes that arent there leading to turnovers Will need to continue to expand his comfort level in shooting from mid-range Needs to develop more of a scorers mentality at times he doesnt assert himself on offense While he possesses a great deal of small forward skills, some may consider him more of a pf Would benefit greatly by improving his overall quickness and foot speed. This would aid him greatly on defense and allow him to gain better separation from his defender offensively Defensively Green has a habit of gambling too much by reaching, leading him to pick up foulsStill inconsistent with his shooting … Lacks range on his shot … Foot speed is average defending on the perimeter … First step wont blow players away, but is not horrible … A little stuck between positions, but shows enough quickness to play the 3 on the next level … His free throw shooting must improve …",13.1,0.079,4.4,N
961," Good ball handler who has no problem taking opposing defenders off the dribble Great finisher around the basket as he is capable of making some impressive dunks on the break Fundamentally sound player with a decent basketball IQ and court awareness Rarely does Jianlian force the issue, instead he lets the game come to him Unlike many players his size, he is a great free throw shooter Runs the floor especially well considering his size His perimeter shooting is very impressive as he can stretch the defense out to 18-20 feet comfortably While he doesnt own many back to the basket moves, Jianlian possesses a consistent turnaround jumper in the post Does a great job of using his long body and athleticism to make an impact on the boards Passes out of double teams well due to his court vision and awareness Excels in an open court offense that promotes fast breaks thanks to his mobility and leaping ability Rarely gets intimidated when physical play occurs Although he has been on the NBA draft radar for quite some time, and may be a few years older than his listed age, he appears to still have considerable upside Defensively he is a solid help defender due to his lateral quickness and wingspan Possesses quick hands that can disrupt passing lanesWeaknesses: There is some concern as to what position he will play in the NBA: He lacks the upper body strength and the back to the basket moves at power forward and is a bit long and rangy for the three Needs to improve his three point shooting to play minutes to be effective at SF Despite his vast improvement, Jianlian needs to continue to develop his upper body strength At this point of his career, hes more comfortable facing the basket than with his back to the basket Although he doesnt shy away from physical contact he can get disrupted with rough post play Struggles to maintain his position in the low post as opposing defenders tend to push him out Defensively he will not be the huge shot blocking presence that he is in the China, due to his timing and the speed of the NBA game Has a habit of putting the ball on the floor to achieve rhythm instead of keeping the ball high away from opposing guards Confidence can wavier in games when hes struggling to score Although listed as being born in 1987 many within China place him between 1984-1985 Doesnt always play defensive with great intensity, he wont be able to get away with it in the NBAAran Smith – 7/7/2006Strengths: The next big prospect from China after Yao Ming A 7 footer with the agility and coordination of a much smaller player, plus explosiveness rarely found in Asian players Has an American style of game, very quick and athletic Loves the transition game and gets a lot of highlight dunks In the CBA, Yi has made a solid transition from prospect to star player becoming the MVP of his CBA champion Guangdong Tigers team Smart player, makes good decisions showing improvement on the offensive end of the floor … Can face the basket from 12-15 feet and get by bigger players off the dribble as well as knock down shots out to 18 feet with consistency … Has good shooting mechanics and overall fundamentals Seems to have modeled his fadeaway jumpshot after Dirk Nowitzki, and though it’s not as accurate, it is extremely tough to defend Has good touch around the basket and shows good creativity on the drive Plays with solid aggressiveness, competitive player with a high level of energy and intensity … Grabs rebounds well using his leaping ability Solid defensively as a shot blocker, with good timing and possesses good lateral quickness Has a fiery side(unlike Yao), if he gets elbowed he will get payback. But by no means is he a hothead or looking for trouble, he’s just a competitior","There is some concern as to what position he will play in the NBA: He lacks the upper body strength and the back to the basket moves at power forward and is a bit long and rangy for the three Needs to improve his three point shooting to play minutes to be effective at SF Despite his vast improvement, Jianlian needs to continue to develop his upper body strength At this point of his career, hes more comfortable facing the basket than with his back to the basket Although he doesnt shy away from physical contact he can get disrupted with rough post play Struggles to maintain his position in the low post as opposing defenders tend to push him out Defensively he will not be the huge shot blocking presence that he is in the China, due to his timing and the speed of the NBA game Has a habit of putting the ball on the floor to achieve rhythm instead of keeping the ball high away from opposing guards Confidence can wavier in games when hes struggling to score Although listed as being born in 1987 many within China place him between 1984-1985 Doesnt always play defensive with great intensity, he wont be able to get away with it in the NBAHe’s a tweener, but a “good tweener” Doesn’t fit a position perfectly as he’s more of a finesse player and too big to play the 3 position, but his combination of size and versatility makes him a very intriguing At times can be too laid back on the floor, so raising his intensity level is important Has good shooting mechanics but has a slow release Could become a good shooter but probably never a great shooter His hands are a little weak, making it easier for opponents to poke the ball away (Yao Ming has the same problem) Needs to continue to gain upper body and arm strength, without losing any quickness If he adds additional strength, he will be able to fight for rebounds better He has no problems now, but it will be an adjustment to the speed and strength of the NBA Also like Yao the adjustment to a much longer season will take time The general consensus in China is that he is actually born in 1984 or 1985, meaning he wouldn’t enter the NBA until he’s actually 25 years of age if he stays in China until his 1987 draft year His game has matured to where he needs better competition to push him. He is a superior athlete in China, and lacks a great competition level, so his game is deteriorating to an extent staying in China in such crucial development years",11.2,0.025,-3.5,N
962," The premiere perimeter defender in college, capable of being a lock down defender on the next level Physically he has everything you need to stand out defensively: long arms, footwork, quickness, anticipation, long arms and height plus a willingness to exert as much effort on defense as on offense Tough minded player with a strong work ethic Not a bad passer for his size who unselfishly looks for open teammates Decent rebounder who uses his leaping ability and long arms to make an impact on the glass When driving to the basket, he converts difficult baskets due to his body control and leaping ability Is a solid three point shooter when his feet are set Excellent finisher in transition where his athleticism allows him to finish with ease Approaches the game with a blue collar attitude and does all the dirty work with a smile on his face Shows above average post up skills for a SF When everything is clicking, he can put up points in a hurry Moves well without the ball and has become efficient running off of screens …Weakness: Offensively he still doesnt seem to have a great grasp of the game Not really able to score at will, or create offense for himself or others the way you would expect someone with his physical abilities Ball handling must continue to improve as hes clearly not comfortable with the ball in his hands From a fundamental standpoint he doesnt do a good job of keeping his dribble low and away from his defender Right now his body should be a priority for him to work on Currently he lacks upper body strength and needs to bulk up on his slight 185 pound frame Offensively Brewer does a lot of things well but nothing spectacular. While he has range, he lacks consistency Has slashing ability but too often settles for shooting the jumper Is prone to making mental mistakes in games during critical momentsNotes: Early in this his junior season, Brewer tested positive for Mononucleosis which caused him to miss a few weeks and could further affect him this season.Aran Smith – 12/10/2004Strengths: Athletic wing with leaping ability and body control … A tremendous lockdown defender… His presence on the floor makes the Gators press defence deadly … Huge wingspan makes him that much more potent defensively … His athleticism is tailormade for an uptempo system … A strong character guy, hard worker … Has good touch on his shot, just needs to work on shooting on the go and develop better rhythm …","In High School Corey was able to use his great athleticism to score, but he must develop better fundamentals to have the same scoring success against similar athletes… Must add bulk to his upper body … Has a good frame but will get pushed around until he adds some strength… Offensive game needs work… His shooting ability is a work in progress … Has the potential to be very good offensively, but right now his game is very raw … Ball handling and passing ability need time and work …",11.8,0.058,2.0,N
963," Extremely mobile for his size, Wright runs the court with great fluidity Excellent help defender thanks to his long arms and lateral quickness Does a great job of getting his body wide and establishing position in the low post Emerging as a very good post passer Possesses great shooting touch around the basket, he converts on hook shots and short jumpers with a soft touch Great rebounder who uses his athleticism and long arms to obtain rebounds Foot speed and footwork is incredibly advanced for his age Because of this he can face the basket and get past his defender on the baseline Recognizes double teams extremely well He has yet to scratch the surface of his potential Offensively Wright is an efficient player who plays to his strengths and rarely operates outside his comfort area Moves well without the ball and is a threat to score on the quick lob pass For a freshman Wrights understanding of the game is exceptional Possesses great hands and shows no problem catching passes thrown to him into the postWeaknesses: Must gain more upper body strength to withstand the physical play at the next level Lacks the upper body strength to consistently finish after contact occurs Could stand to expand his perimeter shooting, as of right now he shows the touch needed but hasnt developed the confidence nor consistency to make shots from mid-range Shooting mechanics could stand to be tweaked Free throw shooting remains a work in progress, shows improvement but has yet to convert regularity. Should focus on less motion before his release Can get disrupted and pushed away from the basket as his doesnt have the body strength to hold position Back to the basket skills are still in need of refinementAran Smith – 4/3/2006 Strenghts: Has a tremedous wingspan which allows him to block shots and get rebounds most players his size could only dream of … He has enormous potential. … Has great hands and solid footwork… Has a good handle for a big guy, which enables him to rebound and take it coast to coast … The game just comes very easy to him … Truly a freak of nature in terms of athletic ability, agility and mobility, he simple has the ability to do anything and everything on the basketball court that he wants to do … Runs the floor exceptionally well … His permiter shot has shown nice improvement in the past year …","Must gain more upper body strength to withstand the physical play at the next level Lacks the upper body strength to consistently finish after contact occurs Could stand to expand his perimeter shooting, as of right now he shows the touch needed but hasnt developed the confidence nor consistency to make shots from mid-range Shooting mechanics could stand to be tweaked Free throw shooting remains a work in progress, shows improvement but has yet to convert regularity. Should focus on less motion before his release Can get disrupted and pushed away from the basket as his doesnt have the body strength to hold position Back to the basket skills are still in need of refinementHe still must put on a lot of weight … Added strength and weight will give him more confidence to go inside and dunk on players and make shots with contact … Though it’s easy to be amazed at the things he can do, he will also leave you wondering ""if"", what if he played harder? What if he rebounded harder? … Intensity and effort level need to improve … His shot from outside needs major work, though it showed improvement in his senior year … Increased strength will come in time but the sky’s the limit for this guy if he pushes himself and gets pushed to be great …",20.3,0.181,7.5,N
964," Extremely long, fluid/mobile player who runs the court like a guard For his size, Noahs is a surprisingly solid ball handler This becomes evident when he gets the ball in the high post and dribbles past his man for a lay-up High energy player who plays games with great passion and intensity Great lateral quickness which enables him to be an excellent help defender when the perimeter defense breaks down Great motor, constantly moves without the ball in his hands trying to get open Passing ability is top notch for a player at his position Displays good touch around the basket Excellent finisher in transition where he converts with ease Offensively he has two crucial physical tools which will facilitate his back to the basket development: long arms and good hands Thanks to his aggressive play, Noah does a good job of drawling fouls from the opposition Tough minded kid who possess a warrior attitude in that he loves to compete and never backs down from physical play Is a great rebounder who understands how to use his frame and long arms Shows great body control as he is able to get knocked around and still finish Despite being a junior, Noah has untapped potentialWeaknesses: Upper body strength needs to improve which would benefit him in several ways. But it should be noted that his body type (narrow shoulders) suggests that he will never have much bulk … Despite being a solid shot blocker, he bites on pump fakes far too easy and lacks timing Picks up careless fouls due to his high energy level as he gets a little to aggressive Still goes through periods where he doesnt make the best decisions though not because of court intelligence but excess passion and intensity Offensively Noahs back to the basket game remains undeveloped Would really benefit in working on his post footwork, a turnaround jumper, and a solid up and under move Athletically he is not what one would call a superior athlete, gets everything though his strong will Double teams can trouble him as he fails to read and react quickly enough Lack of strength hurts him from setting up and getting good low post position Below average mid-range shooter who lacks consistency and must continue to expand his range. The mechanics on his shooting form is something out of a horror movie, and even with a lot of work on it hasnt shown much improvement (but he shoots free throws at a respectable clip) There will be some concern about what his natural NBA position isNotes: Son of tennis legend Yannick Noah … Was the driving force in Florida’s 2006 National Championship run winning MVP of the tournament … Turned down being a likely top 3 draft pick in the 2006 draft, returning to school to help the Gators attempt to repeat as champs and improve his game.Aran Smith – 3/23/2006 Strengths: Plays with great energy and passion … A fierce competitor, has the same drive to win as his tennis great father Yannick Noah … Great leadership ability, inspires his teammates to raise their level of play … Passes well from the high post, or when doubled inside … His ability to create shots for others is rare for a big … Has shown tremendous improvement from his freshman to sophomore season … Incredibly long wing span allows him to get dunks and rebounds that most players could not … A finesse player with good fluidity and agility in the open floor … Touch is decent around the basket … Free throw shooting has shown solid improvement … Good shot blocker because of his length … Raises his level of play in important games … Still learning the game …","Upper body strength needs to improve which would benefit him in several ways. But it should be noted that his body type (narrow shoulders) suggests that he will never have much bulk … Despite being a solid shot blocker, he bites on pump fakes far too easy and lacks timing Picks up careless fouls due to his high energy level as he gets a little to aggressive Still goes through periods where he doesnt make the best decisions though not because of court intelligence but excess passion and intensity Offensively Noahs back to the basket game remains undeveloped Would really benefit in working on his post footwork, a turnaround jumper, and a solid up and under move Athletically he is not what one would call a superior athlete, gets everything though his strong will Double teams can trouble him as he fails to read and react quickly enough Lack of strength hurts him from setting up and getting good low post position Below average mid-range shooter who lacks consistency and must continue to expand his range. The mechanics on his shooting form is something out of a horror movie, and even with a lot of work on it hasnt shown much improvement (but he shoots free throws at a respectable clip) There will be some concern about what his natural NBA position isStruggles to fit an NBA position … Lacks a great body for an interior player, adding strength is a big question mark … Lacks the foot speed to play on the perimeter … Doesn’t have great offensive skills, gets most of his baskets in transition or rebounds … Has no shot outside of 5 feet … Needs to develop some inside moves … Narrow shoulders makes adding weight to his frame difficult … He is 227 pounds now and likely will max out around 235-240 … Gets pushed out of the lane by much smaller players due to his lack of lower body strength … His form on his shot is not always consistent, should work on his shot mechanics (they are easily correctable) …",17.6,0.159,20.9,N
965," Hawes is very long and has very good hands. He runs the floor very well for his size. His ball-handling, is fantastic, especially in the open court, as he played a lot of guard before his reaching his full height. Hawes is very smooth on the court, and has a great, soft touch around the basket. He possesses good shooting form, and has range out to three point distance, but is only consistent to about 18 feet. He is very fundamentally sound, with excellent footwork in the post. He will immediately be one of the best passing big men in the country, whether its out of the post, double team, in the open court, or on the perimeter. He is a decent shot-blocker, but does position himself well on defense.Weaknesses: Definitely needs to bulk up more for life in the paint in college. He needs to develop alternate post moves. He lacks great quickness. He will occasionally settle for taking outside shots instead of attacking from the post. His rebounding skills could be improved. Spencer is not an amazing athlete and has trouble with smaller quicker opponents. He could improve his overall defense.Notes: Hawes chose Washington over North Carolina, Connecticut, and Stanford, among others. He participated in the 2006 McDonalds All-American game. Won a state title as a senior, after somehow not qualifying for the state tournament as a junior with 2005 lottery pick Martell Webster in the lineup with him.Aran Smith – 10/4/2005 Strengths: A center with very good offensive understanding with developed moves … Has a sweet offensive repertoire with hooks and drop steps …A tough nosed player with great attitude … Has the ability to use either hand inside with very good touch … Has a good frame with long arms and excellent hands … Competitive and very coachable … Good passer … Hard worker whose game has improved leaps and bounds in a short time … Good athlete, gets up and down the floor well …","Definitely needs to bulk up more for life in the paint in college. He needs to develop alternate post moves. He lacks great quickness. He will occasionally settle for taking outside shots instead of attacking from the post. His rebounding skills could be improved. Spencer is not an amazing athlete and has trouble with smaller quicker opponents. He could improve his overall defense.His legs are still weak, must add strength to his lower body … Has good toughness, but must get stronger and more consistent … Not an imposing force defensively or a great shot blocker, but improving defensively …",14.0,0.07,3.4,N
966," Big time competitor who wants the ball in crunchtime Has become a great team leader who has learned how to lead by example Rare point guard who can operate equally well in a half court set or up tempo offense Defensively Law shows good lateral quickness and reflexes to play passing lanes Decent court vision, capable of driving and dishing in traffic Great ball handler who uses his shifty quickness to get past most opposing defenders Once in the lane, Law effectively uses his body control and ability to finish with both hands Fundamentally sound player who plays the game with good poise and patience, rarely does Law force the action Has the ability to hit the pull up J from mid-range off the dribble Creative slasher who understands how to use the glass or floaters in the lane Has improved greatly from behind the three point line where he can now convert with regularity Unselfish player who will often look to get teammates involved first before attempting to shoot the ball Possesses a great basketball IQ. Law plays the game very efficient and intelligently Pushes the ball aggressively and effectively up the court","Still learning how to play the point guard position from the stand point of improving his teammates and controlling the tempo of games Could stand to increase his upper body strength and add a few pounds to his frame Perimeter shooting despite improvement can still go through streakiness Settles at times for mid-range shots when he could drive to the basket and put pressure on the defense Lacks the explosive first step to get full separation from his defender Doesnt always apply the same intensity on defense that he shows on offense Can be a little turnover prone as he can telegraph his passes Still remains to be seen if he is able to make players around him better The mechanics in his shooting form are flawed and could need to be refined if he struggles in the NBA Lack of strength prevents him from finishing after contact … Defensively Law tends to gamble reaching for the ball and picks up quick fouls While greatly improved, Law can go through periods where his overall play is inconsistent",9.9,0.032,-1.1,Y
967," Elite level athlete … Extremely fluid and explosive … Blessed with incredible gifts … Prototypical small forward … Has the advantage of being left handed, making him tougher to defend … Has great length for a wing player … Strong competitor … Outside shooting and shot off the dribble have shown solid improvement … Foot speed and length make him a terrific pressure defender … Triggers the press defense well with his speed and quickness … Great attitude, hard worker. Excels in the classroom with a 4.0 GPA … His potential is incredible, but he still needs to gain confidence in his abilities and body strength …","Still a bit inconsistent shooting the ball from outside, but showing vast improvement … Skills are still raw … Ball handling can be sloppy at times … Needs to add a great deal of weight, right now he can get pushed around inside. Another 20 pounds of muscle will make him a lot stronger on the glass and finishing in traffic …",16.4,0.104,20.4,N
968," Can create mismatches all over the floor with his size and point guard skills, i.e. dribbling and passing. Can take bigger guys off the dribble and post up smaller players. Able to play the finesse game as well as be a bull in the post. Very tough minded, which is a misconception based upon his slight frame. Led the Jayhawks in rebounding his sophomore year by a wide margin with 7.8 per game, with the next highest total being 5.6 rpg. Improved in every statistical category his sophomore year besides blocks, which stayed on pace at 1.3 per game. A very hard worker, evidenced by his statistical climb from freshman to sophomore year and the noticeable improvement on his jumpshot. Capable of making eye popping plays either as a distributor, a finisher and also on the defensive end of the floor. A great personality in the locker room, any team looking to change the attitude in the locker room or strengthen team chemistry would be doing themselves a disservice by overlooking him. A player capable of filling up the stat sheet; Kirilenko-esque.Weaknesses: First and foremost, his jumpshot. While it is undoubtedly improved, there is still much work to be done. With a reliable jumpshot that defenders would have to respect, the damage Julian could do to opposing defenses would jump tenfold. Also alarming is Julians performance at the 2007 combine where he came in 66th in total athleticism. Especially startling is his performance in the bench press drills where he could only lift the 185 pound bar twice. After two full years with a major collegiate teams strength program, one would think he would be able to lift more than two reps. Also, which position does Julian fit in the pros? He is a quick four? A big three? It would come down to team need I believe and offensive philosophy.Conclusion: On the right team, Julians style of play could ignite a teams offense. His long arms, he measured in with a 72 wingspan and a 9 standing reach at the combine, allow his to play bigger than he really is and equip him to play frustrating on the ball defense. While his lack of strength might raise some red flags, it never seemed to be an issue while playing at Kansas, where he faced first class talent on an almost nightly basis. Patience is the key with Julian; once he figures out his role on the team and what he is capable of, and also if he is ever able to consistently knock down his outside jumpers, then the dividends of his game will unfold.Matthew Maurer – 12/22/2006Strengths: For his size, he is a tremendous passer able to make impressive plays Unselfish player who gets his teammates involved in the offense … Excellent court vision, sees the floor with ease Smart player who doesnt force things. Waits and lets the game come to him Possesses the ball handling ability to take most opposing forwards to the basket Has a quick first step which allows him to gain separation from his defender Combine that with his assortment of crossovers and change of speed dribbles Excellent athlete who is a great finisher in transition He possesses long arms and quickness which enables him to disrupt passing lanes Adequate shot blocker who is a threat as a help defender thanks to his solid lateral movement Has improved greatly as a rebounder by improving his fundamentals instead of just relying on his athleticism as he previously had Clearly has expanded his shooting from mid-range and has the ability to hit from the perimeter His versatility creates mismatches for opposing teams While his skill set reminds you of a finesse forward, he is a tough minded player who doesnt shy away from contactWeaknesses: Can almost be unselfish to a fault in that he doesnt take control of the game offensively Must continue to increase his upper body strength to aid him in finishing after contact occurs Perimeter shooting is a work in progress. While Wright has the ability, he remains streaky Still isnt what you would call a consistent performer, often he will follow one spectacular performance with several sub par games Has a habit of going for the spectacular pass which can cause turnovers Adding improved back to the basket skills would allow for him to really expand his offensive game Free throw shooting continues to improve but remains a work in progressRob Salvador – 9/21/2004Strengths: A high riser with gifted all around athleticism … Loves using his hops to attack the basket … At his best when he’s around the rim, where his athleticism, size, and incredible wingspan make him a dangerous weapon … An excellent offensive rebounder, leading to a lot of tip ins, and easy baskets … Also adept with his back towards the basket, where he can use his size to create easy shots for himself … An incredible slasher with tremendous balance and body control … Loves the open floor game… Very quick first step allows for easy penetration, and being an incredible finisher he usually scores when he gets to the basket … Unlike most 6’8 players, Julian is a terrific ball handler, and often brings the ball up and leads the break for his team… Played point guard during his junior year at Homewood Flossmoor… Unselfish player with good court vision … His size allows for excellent passing ability, and he usually finds the open teammate … Good rebounder, mostly due to his size and athletic ability … His long arms (7’1 wingspan) lead to lots of steals and blocked shots … Defense is solid and has great potential …","First and foremost, his jumpshot. While it is undoubtedly improved, there is still much work to be done. With a reliable jumpshot that defenders would have to respect, the damage Julian could do to opposing defenses would jump tenfold. Also alarming is Julians performance at the 2007 combine where he came in 66th in total athleticism. Especially startling is his performance in the bench press drills where he could only lift the 185 pound bar twice. After two full years with a major collegiate teams strength program, one would think he would be able to lift more than two reps. Also, which position does Julian fit in the pros? He is a quick four? A big three? It would come down to team need I believe and offensive philosophy.Can almost be unselfish to a fault in that he doesnt take control of the game offensively Must continue to increase his upper body strength to aid him in finishing after contact occurs Perimeter shooting is a work in progress. While Wright has the ability, he remains streaky Still isnt what you would call a consistent performer, often he will follow one spectacular performance with several sub par games Has a habit of going for the spectacular pass which can cause turnovers Adding improved back to the basket skills would allow for him to really expand his offensive game Free throw shooting continues to improve but remains a work in progressSize and athleticism play a big role in his game, so he’ll need to learn how to become a player that doesn’t rely on his physical ability so much….While Julian is a true talent, there are some gaping holes in his game…. Needs to add a better J to be effective on the next level … His perimeter game can really develop… Must put on strength … Relies too much on athleticism at times, which wont work on the NBA level, so his development at Kansas, especially offensively, is key .",12.8,0.061,1.2,Y
969," Physically Thornton is a jaw dropper type of athlete Because of the high energy level and aggressiveness Thornton plays with, he draws a good number of fouls from opposing players Has developed his upper body strength well and possesses an NBA ready body Does a great job of getting rebounds out of position thanks to his leaping ability and foot speed Runs the court like a guard Is a threat in transition where he is a tremendous finisher Loves to face-up the opposing defender and blow by them using his length and explosive first step Excellent lateral quickness enables him to be a very good help defender Owns a great set of hands that allows him to catch passes without problem, even bad passes Possesses three point range on his shot Converts with ease around the basket Despite being a senior that is a year older than most he has a load of potential that he has yet to scratch Versatile player who will be a match-up problem for most defenders Has developed into a great free throw shooterWeaknesses: Despite his physical gifts hes not the rebounder one would expect Ball handling ability is satisfactory at the collegiate level but will clearly need to be refined as he is prone to turnovers Defensively while he is a adequate shot blocker, he still bites too often on pump fakes Mid-range shooting has improved but is still not consistent Back to the basket skills are still a work in progress Although he is an extremely talented player his ability to fit a position could be a concern Despite his age, his fundamentals and basketball IQ are still not yet there as he often relies more on his athleticism Lacks the court vision to be a real factor as a passer Tends to get frustrated at times and force shots that arent there Has a bad habit of getting out of control on his drives to the basket Will need to focus on developing his post footwork as it is unrefined …Aran Smith – 8/14/2006Strengths: Versatile, energetic forward with strong all around skills … Broke into a legitimate star in his junior year and should be FSU’s main man in his senior year … Plays with a high level of intensity and aggressiveness … Shows the ability to raise his level of play in big games as he blew up for 37 points and 15 boards against Duke at Cameron Indoor stadium as well as 37 at Boston College … Long arms give him excellent rebounding and defensive ability … Attacks the basket well with good ball handling ability … Crafty around the basket … Excellent inside/outside skills … Free throw shooting showed significant improvement in his junior year …","Despite his physical gifts hes not the rebounder one would expect Ball handling ability is satisfactory at the collegiate level but will clearly need to be refined as he is prone to turnovers Defensively while he is a adequate shot blocker, he still bites too often on pump fakes Mid-range shooting has improved but is still not consistent Back to the basket skills are still a work in progress Although he is an extremely talented player his ability to fit a position could be a concern Despite his age, his fundamentals and basketball IQ are still not yet there as he often relies more on his athleticism Lacks the court vision to be a real factor as a passer Tends to get frustrated at times and force shots that arent there Has a bad habit of getting out of control on his drives to the basket Will need to focus on developing his post footwork as it is unrefined …Shooting range and consistency can improve … Will be 23 in December, so he’s a year older that the rest of his class … Shows solid ball handling and passing ability, but needs to cut down on turnovers … Must become more mentally tough, and consistent overall …",12.3,0.035,-3.2,N
970," Tremendous scorer with excellent body strength Has the ability to play both guard positions, with solid ball handling and passing ability Very good at driving to the basket and creating scores Has a solid mid range game with a good pull up shot off the dribble Showed the ability to create offense for himself even with opposing defenses keying on him with 2-3 defenders Solid 3 point shooter at 37%, hitting 55 on the season … On top of great offensive skills, he has the ability to lock down opponents defensively Averaged close to 50% FG and 4 APG despite a weak supporting cast","A bit of a tweener at 6-3 as hes better at the 2-guard position, but showed the ability to run the point as a freshman Dominated lesser competition, so its tougher to gauge his abilities as the level of talent in the Big Sky Conference is inferior Needs to show better focus on the defensive end of the floor at all times, as he is extremely effective when he gives full effort He is a tremendous 1-1 talent, but prove he has the ability to involve teammates A solid though not overwhelming level of athlete … Could struggle to get shots off the same way on the NBA level as he’s small and lacks frekish athleticism …",14.9,0.077,4.9,N
